Category,Service_SDK,Resource_API,Method_API,Method_SDK,ID,Verb,Summary,Request,Response,URL,Release
temp_cat,temp_cat,temp_resc,triggerWorkflow,triggerWorkflow,triggerWorkflowViaPost,post,Creates a new workflow instance after authenticating with DS Account Server,#/definitions/TriggerPayload,#/definitions/TriggerWorkflowViaPostResponse,aow-auth/v1.0/accounts/{accountId}/workflows/trigger,2024.5
temp_cat,temp_cat,temp_resc,cancelWorkflowInstance,cancelWorkflowInstance,cancelWorkflowInstance,post,Cancels a running workflow instance.,,#/definitions/CancelResponse,aow-manage/v1.0/management/accounts/{accountId}/instances/{instanceId}/cancel,2024.5
temp_cat,temp_cat,temp_resc,getWorkflowHistory,getWorkflowHistory,getWorkflowHistory,get,Get List of Step Histories,,,aow-manage/v1.0/management/accounts/{accountId}/instances/{instanceId}/history,2024.5
temp_cat,temp_cat,temp_resc,getWorkflowDefinitions,getWorkflowDefinitions,getWorkflowDefinitions,get,Get Workflow Definitions metadata,,#/definitions/WorkflowDefinitionList,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions,2024.5
temp_cat,temp_cat,temp_resc,createWorkflowDefinition,createWorkflowDefinition,createNewWorkflowDefinition,post,Creates a new workflow definition.,#/definitions/CreateOrUpdateWorkflowDefinitionRequestBody,#/definitions/NewOrUpdatedWorkflowDefinitionResponse,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions,2024.5
temp_cat,temp_cat,temp_resc,deleteWorkflowDefinition,deleteWorkflowDefinition,deleteWorkflowDefinition,delete,Deletes a workflow definition.,,#/definitions/WorkflowDeleteResponse,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId},2024.5
temp_cat,temp_cat,temp_resc,getWorkflowDefinition,getWorkflowDefinition,getWorkflowDefinition,get,Get Workflow Definition,,#/definitions/WorkflowDefinitionWithId,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId},2024.5
temp_cat,temp_cat,temp_resc,updateWorkflowDefinition,updateWorkflowDefinition,updateWorkflowDefinition,put,Updates a workflow definition.,#/definitions/CreateOrUpdateWorkflowDefinitionRequestBody,#/definitions/NewOrUpdatedWorkflowDefinitionResponse,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId},2024.5
temp_cat,temp_cat,temp_resc,getWorkflowDefinitionConfigInstances,getWorkflowDefinitionConfigInstances,getConfigInstances,get,Gets configuration instances,,#/definitions/GetConfigurationInstancesResponse,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId}/configInstances,2024.5
temp_cat,temp_cat,temp_resc,getWorkflowInstances,getWorkflowInstances,getWorkflowInstances,get,Get List of Workflow Instances,,,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId}/instances,2024.5
temp_cat,temp_cat,temp_resc,getWorkflowInstance,getWorkflowInstance,getWorkflowInstance,get,Get Workflow Instance Details,,#/definitions/WorkflowInstance,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId}/instances/{instanceId},2024.5
temp_cat,temp_cat,temp_resc,publishOrUnPublishWorkflowDefinition,publishOrUnPublishWorkflowDefinition,publishOrUnPublishWorkflowDefinition,post,Publishes or unpublishes a workflow definition.,#/definitions/DeployRequest,#/definitions/DeployResponse,aow-manage/v1.0/management/accounts/{accountId}/workflowDefinitions/{workflowDefinitionId}/publish,2024.5